,greV,greQ,greA,cgpa,univName
274789,147.0,166.0,3.0,3.3,University Of Oregon
274792,162.0,170.0,4.0,3.8,UIUC
274802,154.0,167.0,4.5,3.9,Boston University
274826,161.0,165.0,5.0,3.69,"University Of California, San Diego (UCSD)"
274833,168.0,157.0,3.5,3.96,University Of Chicago
274834,160.0,165.0,4.0,3.95,University Of Pittsburgh
274851,154.0,156.0,4.0,3.52,University Of Maryland
274855,145.0,166.0,5.0,3.8,Purdue University
274881,153.0,163.0,3.0,3.8,Arizona State University
274895,152.0,162.0,3.0,3.75,University Of Utah
274898,152.0,162.0,3.0,3.75,University Of Utah
274934,162.0,150.0,4.5,3.9,"University Of Maryland, College Park"
274950,166.0,157.0,4.5,4.0,University Of Chicago
274960,158.0,152.0,6.0,3.7,Georgetown University
274979,151.0,159.0,5.0,3.66,George Mason University
274985,163.0,169.0,4.0,3.82,University Of Texas At Austin
274987,170.0,169.0,6.0,3.43,Duke University
274995,144.0,162.0,3.0,3.98,George Mason University
275000,150.0,170.0,4.0,4.0,"University Of California, San Diego (UCSD)"
275012,164.0,148.0,4.5,2.9,University Of Chicago
275016,155.0,168.0,3.5,3.77,University Of Virginia
275023,155.0,154.0,4.5,3.75,Boston University
275042,151.0,163.0,3.5,4.0,University Of Pennsylvania
275051,155.0,170.0,3.5,3.79,Purdue University
275052,130.0,170.2127659574468,3.0,3.98,Columbia University
275054,156.0,160.0,4.5,3.9,Stanford University
275058,147.0,170.0,2.5,4.0,Colorado State University
275064,168.0,164.0,5.0,3.98,Stanford University
275073,167.0,167.0,4.0,3.72,UCSD
275087,162.0,170.0,4.0,3.98,University Of Arizona
275088,152.0,164.0,0.0,3.94,University Of Utah
275095,166.0,151.0,4.5,3.44,University Of Oregon
275113,160.0,168.0,4.0,4.0,Carnegie Mellon University
275123,161.0,168.0,5.0,3.99,The Ohio State University
275124,147.0,157.0,5.0,3.99,Carnegie Mellon University
275129,161.0,164.0,4.0,3.97,University Of Michigan
275144,160.0,170.0,3.5,3.41,"University Of Michigan, Ann Arbor"
275148,163.0,153.0,5.5,3.85,Temple University
275157,159.0,170.0,4.0,3.9,University Of Michigan
275158,159.0,153.0,4.5,2.85,University Of Michigan
275168,159.0,162.0,4.5,3.3,North Carolina State University
275170,160.0,167.0,4.5,3.71,University Of Toronto
275200,155.0,155.0,4.0,3.4,University Of Michigan
275212,154.0,163.0,3.0,3.86,Boston University
275214,166.0,169.0,4.0,3.6,Stanford University
275230,166.0,156.0,4.5,3.82,University Of Arizona
275232,141.0,168.0,3.0,3.8,George Mason University
275235,160.0,170.0,6.0,3.88,University Of Michigan
275240,163.0,166.0,5.5,3.74,University Of Michigan
275241,170.0,165.0,4.5,3.99,Princeton University
275271,166.0,168.0,4.0,3.46,"University Of California, Irvine"
275279,170.2127659574468,155.3191489361702,3.0,3.0,University Of Michigan
275280,170.0,163.0,5.0,3.96,University Of Oregon
275283,154.0,154.0,4.0,3.83,University Of Michigan
275286,157.4468085106383,159.5744680851064,5.0,3.82,New York University (NYU)
275307,169.0,153.0,5.0,3.57,UCLA
275309,167.0,153.0,3.5,3.9,University Of Michigan
275310,167.0,153.0,3.5,3.99,University Of Cincinnati
275323,163.0,170.0,4.5,3.85,UC Irvine
275336,154.0,167.0,4.0,3.75,University Of Minnesota
275347,153.0,155.0,4.5,4.0,University Of Michigan
275352,149.0,164.0,3.5,3.82,UC Irvine
275355,165.0,156.0,5.5,3.7,University Of Michigan
275382,157.0,169.0,4.0,4.0,University Of Michigan
275385,157.0,169.0,4.0,3.93,Johns Hopkins University
275387,164.0,147.0,5.5,3.85,University Of Washington
275406,161.0,163.0,3.0,3.5,"University Of Washington, Seattle"
275421,170.2127659574468,148.93617021276594,4.0,3.95,Duke University
275448,164.0,153.0,4.0,3.84,University Of Oregon
275452,166.0,169.0,5.5,3.72,Duke University
275489,163.0,162.0,5.0,3.3,Georgetown University
275491,167.0,166.0,5.5,3.8,University Of Chicago
275494,161.0,163.0,4.5,3.75,University Of Pittsburgh
275495,167.0,166.0,5.5,3.8,Indiana University Bloomington
275500,167.0,166.0,5.5,3.8,Ohio State University
275502,160.0,167.0,4.5,3.78,New York University (NYU)
275508,161.0,168.0,5.0,4.0,University Of Pittsburgh
275554,164.0,149.0,5.0,3.69,University Of Michigan
275575,150.0,143.0,4.0,3.46,George Washington University
275576,163.0,170.0,5.0,3.59,George Mason University
275578,159.0,155.0,4.0,3.69,The Ohio State University
275586,163.0,157.0,4.0,3.91,University Of Georgia
275597,161.0,160.0,4.0,3.97,University Of Central Florida
275598,159.0,159.0,4.0,3.7,Carnegie Mellon University (CMU)
275611,153.0,166.0,3.5,3.6,Purdue University
275647,161.0,169.0,5.0,7.75,Yale University
275656,170.0,170.0,5.5,3.8,Stanford University
275661,156.0,170.0,4.0,3.4,UIUC
275672,160.0,165.0,4.5,3.97,"University Of California, Berkeley"
275701,162.0,164.0,3.5,3.39,Carnegie Mellon University
275729,162.0,160.0,4.0,3.1,University Of South Carolina
275748,158.0,149.0,4.0,3.1,New York University (NYU)
275753,151.0,165.0,4.5,3.5,Johns Hopkins University
275767,160.0,159.0,4.5,3.6,University Of Michigan
275769,157.0,167.0,4.0,3.87,Boston University
275777,166.0,144.0,4.5,3.71,Texas A&M University
275803,144.0,166.0,3.0,3.4,Oregon State University
275816,170.0,170.0,4.5,3.68,Georgia State University
275826,165.0,158.0,5.5,3.93,University Of Maryland
275858,157.0,156.0,3.0,3.92,Ohio State University
275877,156.0,150.0,5.0,3.65,University Of Michigan
275878,156.0,150.0,5.0,3.65,University Of Chicago
275879,170.0,160.0,4.5,3.7,University Of Rochester
275891,160.0,154.0,4.5,3.5,University Of Maryland College Park
275892,152.0,170.0,3.0,3.85,University Of Southern California
275895,159.0,163.0,3.0,3.6,The University Of Chicago
275903,159.0,168.0,3.5,3.95,UCSD
275916,163.0,158.0,4.5,3.76,Boston University
275929,165.0,167.0,3.5,3.78,Carnegie Mellon University
275959,162.0,162.0,0.0,3.62,"University Of California, Berkeley"
275960,161.0,163.0,3.0,3.3,UCLA
275962,162.0,162.0,0.0,3.62,Stanford University
275966,149.0,162.0,3.5,3.62,Wayne State University
275987,168.0,167.0,5.0,3.94,University Of Maryland
276000,160.0,150.0,4.5,3.9,"University Of Michigan, Ann Arbor"
276004,164.0,158.0,5.5,3.2,UC Berkeley
276033,155.0,150.0,5.0,3.7,University Of Florida
276060,162.0,153.0,4.5,3.57,University Of Chicago
276064,130.0,130.0,5.0,4.0,University Of Oregon
276068,168.0,165.0,4.0,3.4,University Of Chicago
276071,168.0,164.0,5.5,4.0,Northwestern University
276077,162.0,170.0,4.0,3.95,Columbia University
276088,151.0,164.0,4.5,3.81,"University Of California, Berkeley"
276104,160.0,152.0,4.5,3.83,The Ohio State University
276113,168.0,168.0,5.0,3.67,Colorado State University
276132,160.0,170.0,3.5,3.73,University Of Texas At Austin
276133,163.0,170.0,3.5,3.6,Indiana University Bloomington
276135,154.0,170.0,3.0,3.9,Rice University
276146,160.0,156.0,5.0,3.6,Georgetown University
276169,166.0,161.0,4.5,3.98,Boston University
276172,154.0,148.0,4.0,3.92,Boston University
276184,152.0,159.0,4.0,3.92,Boston University
276199,152.0,149.0,4.5,3.5,University Of Southern California (USC)
276204,166.0,161.0,4.5,3.98,Boston University
276229,159.0,150.0,5.0,3.93,Indiana University Bloomington
276236,157.0,170.0,5.0,3.91,University Of Arizona
276237,153.0,167.0,3.5,4.0,The University Of Chicago
276259,162.0,163.0,4.5,3.3,UCLA
276267,158.0,151.0,4.0,3.88,Boston University
276276,162.0,145.0,5.0,3.8,Colorado State University
276284,158.0,158.0,4.5,3.34,USC
276286,165.0,155.0,4.5,3.91,University Of Arizona
276300,157.0,161.0,4.0,3.44,University Of Chicago
276325,168.0,165.0,4.0,3.4,University Of Chicago
276351,158.0,152.0,6.0,3.7,University Of Georgia
276365,153.0,167.0,3.5,3.48,Carnegie Mellon University (CMU)
276369,153.0,169.0,3.0,3.83,University Of Delaware
276377,161.0,158.0,4.5,3.7,UCLA
276380,160.0,154.0,5.0,3.6,Syracuse University
276390,159.0,151.0,4.5,3.74,Boston University
276394,163.0,145.0,5.5,3.75,New York University (NYU)
276400,146.0,163.0,3.0,3.87,UC Irvine
276401,161.0,155.0,5.5,3.61,University Of Michigan
276404,163.0,161.0,4.5,4.0,University Of Virginia
276435,152.0,156.0,4.0,3.4,Northeastern University
276438,169.0,164.0,5.5,3.98,Syracuse University
276440,169.0,164.0,5.5,3.98,Syracuse University
276455,154.0,148.0,4.0,3.92,Boston University
276456,163.0,157.0,5.5,3.58,Florida State University
276515,153.0,159.0,5.0,3.02,Yale University
276517,165.0,158.0,5.5,3.77,University Of Michigan
276525,167.0,170.0,6.0,3.78,University Of Washington
276564,170.0,170.0,5.5,3.8,University Of Pennsylvania (UPenn)
276569,151.0,168.0,3.0,3.96,Duke University
276577,157.0,160.0,4.0,3.53,University Of Pittsburgh
276578,154.0,170.0,4.5,3.9,UC Berkeley
276595,166.0,169.0,5.5,3.72,Columbia University
276596,160.0,162.0,3.5,3.5,UT Austin
276599,166.0,169.0,5.5,3.72,UCSD
276614,155.0,160.0,3.0,3.4,University Of Florida
276629,157.0,148.0,4.5,3.47,University Of Southern California (USC)
276632,156.0,156.0,4.5,3.87,University Of South Carolina
276639,156.0,158.0,4.0,3.1,Colorado State University
276642,155.0,164.0,5.0,3.96,Northeastern University
276643,160.0,153.0,5.0,3.9,Temple University
276648,152.0,166.0,3.0,3.78,University Of Delaware
276655,165.0,167.0,5.5,3.88,Rice University
276679,168.0,165.0,6.0,3.95,Yale University
276703,157.0,170.0,3.5,3.6,Rice University
276716,158.0,160.0,4.0,3.9,"University Of California, San Diego (UCSD)"
276757,153.0,163.0,3.5,3.82,UCSD
276764,161.0,158.0,4.5,3.67,University Of Maryland College Park
276767,166.0,160.0,5.0,3.4,University Of Wisconsin-Madison
276773,156.0,170.0,0.3,3.71,University Of Southern California
276797,152.0,162.0,3.5,3.81,UIUC
276807,153.0,170.0,4.0,3.89,UCLA
276814,152.0,167.0,3.0,3.5,McGill University
276843,159.0,168.0,4.0,3.9,Northwestern University
276848,165.0,158.0,4.5,3.72,Ohio State University
276849,157.0,170.0,0.0,3.76,Iowa State University
276852,153.0,163.0,3.0,3.5,University Of South Florida
276855,160.0,162.0,4.5,3.16,Georgetown University
276856,167.0,156.0,3.5,3.85,Georgetown University
276858,160.0,162.0,4.5,3.16,George Washington University
276871,166.0,151.0,4.5,3.44,University Of Utah
276875,154.0,154.0,5.0,4.0,University Of Arizona
276887,167.0,164.0,6.0,3.8,Boston University
276898,170.2127659574468,130.0,4.0,3.5,University Of Utah
276909,162.0,170.0,4.5,3.33,University Of Texas At Austin
276947,148.0,168.0,3.0,3.44,Rice University
276951,160.0,160.0,4.0,3.73,Cornell University
276962,153.0,164.0,0.0,3.59,University Of Pittsburgh
276965,130.0,170.2127659574468,3.0,3.4,North Carolina State University (NCSU)
276976,157.0,169.0,3.5,3.93,Rice University
276984,159.0,167.0,4.0,3.91,Stanford University
276989,164.0,153.0,5.0,3.98,University Of Michigan
277007,159.0,167.0,4.0,3.91,Stanford University
277014,157.0,154.0,5.0,3.62,Wayne State University
277017,165.0,170.0,4.5,3.99,Duke University
277018,152.0,161.0,3.5,7.41,University Of Arizona
277024,165.0,165.0,4.5,3.8,Johns Hopkins University
277047,157.0,165.0,4.0,3.33,North Carolina State University
277077,152.0,163.0,3.5,3.0,Rutgers University
277094,167.0,166.0,4.0,3.9,Rutgers University
277098,164.0,153.0,5.0,3.98,University Of Washington
277107,170.0,169.0,6.0,3.9,UCLA
277116,169.0,163.0,5.5,4.0,Boston University
277144,152.0,163.0,2.5,3.92,Clemson University
277158,140.4255319148936,170.2127659574468,3.5,3.8,University Of Pittsburgh
277193,157.0,170.0,4.0,3.7,USC
277204,153.0,159.0,5.5,3.6,Brown University
277213,161.0,153.0,4.5,3.82,Purdue University
277226,135.0,164.0,2.0,3.3,UCLA
277237,165.0,164.0,5.0,3.38,University Of Texas At Austin
277244,164.0,158.0,5.5,3.2,University Of Washington
277258,161.0,153.0,4.0,3.91,Purdue University
277265,163.0,158.0,4.0,3.55,Georgetown University
277267,167.0,158.0,5.0,3.75,University Of Iowa
277272,167.0,158.0,5.0,3.75,University Of Wisconsin-Madison
277279,158.0,167.0,5.0,3.75,University Of Wisconsin-Madison
277313,152.0,163.0,3.0,3.23,University Of Utah
277341,164.0,165.0,5.0,3.7,University Of Connecticut
277353,131.91489361702128,157.4468085106383,4.0,3.7,UT Austin
277355,164.0,170.0,4.0,3.2,Brown University
277357,159.0,150.0,5.0,3.93,Purdue University
277370,163.0,162.0,5.0,3.3,Rice University
277371,156.0,167.0,3.5,3.3,USC
277379,170.0,170.0,5.5,3.8,Princeton University
277408,150.0,153.0,4.0,3.73,University Of Wisconsin - Madison
277409,170.0,170.0,5.0,3.5,UCLA
277416,164.0,154.0,4.0,3.8,Temple University
277422,160.0,166.0,4.5,3.2,George Mason University
277426,158.0,170.0,4.0,3.2,Florida State University
277435,162.0,161.0,4.0,3.9,University Of Wisconsin - Madison
277437,160.0,154.0,5.0,3.6,Temple University
277441,162.0,161.0,4.0,3.9,Columbia University
277449,155.0,165.0,3.5,3.7,North Carolina State University
277451,167.0,147.0,0.0,3.9,George Washington University
277468,161.0,164.0,4.0,3.44,George Mason University
277477,155.0,162.0,3.5,3.7,George Washington University
277484,163.0,167.0,4.5,3.96,North Carolina State University
277505,166.0,169.0,5.5,3.72,Washington University in St. Louis (WashU/WUSTL)
277520,154.0,164.0,4.0,4.0,University Of South Florida
277534,170.0,162.0,4.5,3.56,Georgia State University
277542,169.0,164.0,4.5,3.91,University Of Washington
277559,156.0,167.0,4.0,4.0,Stanford University
277560,165.0,170.0,3.0,3.4,University Of Delaware
277577,158.0,167.0,4.5,3.9,Emory University
277578,130.0,168.08510638297872,4.5,3.4,UNC Chapel Hill
277580,130.0,168.08510638297872,4.5,3.4,University Of Washington
277588,160.0,154.0,4.5,3.85,University Of Chicago
277618,152.0,164.0,3.0,3.7,Northeastern University
277621,152.0,168.0,3.5,4.0,University Of Southern California
277640,162.0,150.0,3.0,4.43,University Of Arizona
277654,155.0,170.0,3.5,3.95,University Of Pennsylvania
277660,162.0,166.0,5.5,3.52,UT Austin
277669,156.0,165.0,3.0,3.77,UT Austin
277675,151.0,165.0,4.5,3.5,UC Davis
277677,151.0,165.0,4.5,3.5,Iowa State University
277679,163.0,168.0,4.5,3.45,"University Of California, Irvine"
277680,166.0,151.0,4.5,3.44,University Of Utah
277700,160.0,165.0,4.5,3.97,Stanford University
277703,148.0,165.0,3.0,3.4,Boston University
277717,165.0,156.0,5.0,3.68,University Of Chicago
277728,152.0,168.0,3.0,3.64,University Of Michigan
277731,157.0,162.0,4.5,3.12,Indiana University Bloomington
277737,157.0,163.0,4.0,3.94,George Mason University
277744,167.0,154.0,5.0,4.0,University Of Toronto
277749,166.0,165.0,5.0,3.72,Georgia State University
277763,168.0,170.0,5.0,3.85,Harvard University
277764,152.0,152.0,3.5,3.95,University Of Arizona
277779,170.0,151.0,3.5,3.7,UT Austin
277812,157.0,170.0,4.0,3.83,Stanford University
277823,155.0,170.0,3.0,3.54,University Of Michigan
277840,162.0,168.0,4.5,4.0,UCLA
277861,152.0,170.0,3.0,3.84,Northwestern University
277869,163.0,170.0,3.5,3.7,UCLA
277873,159.0,166.0,0.0,3.76,Rice University
277889,158.0,166.0,4.0,3.92,Indiana University Bloomington
277891,159.0,164.0,5.0,3.85,University Of Chicago
277897,159.0,164.0,5.0,3.85,The University Of Chicago
277917,164.0,168.0,3.0,3.8,UCLA
277930,170.0,156.0,3.0,3.87,Purdue University
277937,141.0,169.0,3.0,3.67,"University Of California, Los Angeles (UCLA)"
277947,156.0,170.0,3.5,3.8,University Of Southern California
277949,159.0,170.0,3.5,3.5,Rutgers University
277954,162.0,152.0,4.5,3.96,Oregon State University
277970,149.0,165.0,3.0,3.55,University Of Arizona
277981,160.0,162.0,5.0,3.98,Texas A&M University
277998,150.0,157.0,4.0,3.11,Brown University
278008,130.0,170.2127659574468,5.0,3.7,UCLA
278021,154.0,162.0,5.0,3.8,Yale University
278022,150.0,145.0,2.0,3.76,University Of Michigan
278042,160.0,169.0,3.5,3.93,University Of Pennsylvania
278064,163.0,167.0,0.0,3.89,UCLA
278069,160.0,159.0,5.0,3.57,UIUC
278082,150.0,145.0,4.0,3.36,George Washington University
278084,166.0,160.0,5.0,3.3,New York University
278097,130.0,159.5744680851064,5.0,3.2,University Of Oregon
278104,164.0,162.0,5.5,3.8,University Of Washington
278138,168.0,168.0,6.0,3.8,University Of Chicago
278146,162.0,157.0,5.0,3.77,University Of Arizona
278157,160.0,160.0,5.0,3.81,The Ohio State University
278189,148.0,164.0,3.0,3.1,"University Of Colorado, Boulder"
278207,145.0,168.0,4.5,3.5,Arizona State University
278213,157.4468085106383,159.5744680851064,5.0,3.82,Brown University
278222,168.0,161.0,6.0,3.98,Georgia State University
278232,170.0,170.0,6.0,3.9,Carnegie Mellon University
278246,161.0,163.0,4.5,3.96,Washington University in St. Louis (WashU/WUSTL)
278248,140.4255319148936,170.2127659574468,6.0,3.72,UCLA
278254,161.0,163.0,4.5,3.96,University Of Kentucky
278260,161.0,163.0,4.5,3.96,Arizona State University
278297,157.0,155.0,4.5,3.5,University Of Central Florida
278302,170.0,168.0,6.0,3.91,UNC Chapel Hill
278329,162.0,159.0,5.0,3.68,University Of Wisconsin - Madison
278331,153.0,160.0,5.5,3.9,Boston University
278335,163.0,170.0,3.5,3.87,UNC Chapel Hill
278343,138.29787234042553,170.2127659574468,3.5,3.9,UIUC
278351,157.0,170.0,4.0,3.83,University Of Michigan
278383,166.0,165.0,4.5,3.78,University Of Michigan
278387,162.0,166.0,4.5,3.7,University Of Pennsylvania
278416,159.0,161.0,4.0,4.0,American University
278417,162.0,150.0,5.5,3.74,University Of Pittsburgh
278418,146.0,166.0,2.5,3.7,Penn State University
278421,162.0,155.0,5.5,3.79,University Of South Carolina
278424,147.0,170.0,3.5,3.82,Purdue University
278430,149.0,155.0,4.0,3.84,UCLA
278439,170.0,170.0,5.0,3.4,"University Of Michigan, Ann Arbor"
278442,170.0,170.0,5.0,3.4,University Of Pennsylvania
278450,162.0,158.0,5.0,3.87,University Of Southern California
278477,152.0,168.0,3.0,3.64,UIUC
278485,146.0,160.0,3.0,3.94,Clemson University
278529,158.0,170.0,4.5,3.69,Stanford University
278541,149.0,168.0,3.5,3.67,North Carolina State University (NCSU)
278548,155.0,170.0,4.0,3.9,University Of Southern California
278549,156.0,156.0,4.0,3.9,UCLA
278564,145.0,162.0,3.0,3.36,University Of Georgia
278569,150.0,162.0,4.5,3.9,George Washington University
278588,154.0,169.0,4.0,3.83,University Of Texas At Austin
278602,152.0,162.0,4.0,3.52,University Of Southern California
278603,161.0,158.0,4.5,3.35,University Of Connecticut
278607,165.0,170.0,3.5,3.8,UCLA
278626,155.0,154.0,4.5,3.9,University Of Texas At Dallas
278636,148.93617021276594,170.2127659574468,5.0,3.96,Yale University
278655,164.0,170.0,4.0,4.0,Stanford University
278687,170.0,154.0,3.5,3.8,UCSD
278699,160.0,152.0,5.0,3.5,University Of Arizona
278705,159.0,167.0,5.0,3.4,Johns Hopkins University
278713,159.0,167.0,5.0,3.6,Harvard University
278721,157.0,169.0,3.5,3.93,Carnegie Mellon University (CMU)
278730,168.0,168.0,5.0,3.83,UC Irvine
278733,158.0,158.0,4.5,3.9,Northwestern University
278741,158.0,154.0,4.0,3.83,University Of South Florida
278764,161.0,168.0,4.5,4.0,Stanford University
278771,165.0,159.0,4.0,3.2,Washington University in St. Louis (WashU/WUSTL)
278782,159.0,161.0,4.5,3.27,UCLA
278784,159.0,161.0,4.5,3.27,UCLA
278789,157.0,156.0,3.5,3.8,University Of Pennsylvania
278827,160.0,169.0,3.5,3.93,UIUC
278833,166.0,167.0,4.0,3.8,UCLA
278863,170.0,161.0,4.5,3.5,American University
278872,170.0,154.0,5.5,3.75,Duke University
278897,165.0,170.0,4.0,3.7,Columbia University
278918,167.0,147.0,0.0,3.9,Syracuse University
278928,165.0,163.0,4.0,3.8,University Of Florida
278930,161.0,170.0,3.5,4.0,Stanford University
278933,152.0,164.0,4.0,3.62,Penn State University
278946,166.0,167.0,6.0,3.9,University Of Southern California
278948,154.0,168.0,5.0,3.97,University Of South Carolina
278954,156.0,157.0,4.0,3.67,Columbia University
278977,170.0,169.0,6.0,3.9,USC
278979,165.0,159.0,4.5,3.87,Boston University
278992,170.0,170.0,5.0,3.5,Northwestern University
278993,163.0,148.0,4.0,3.86,New York University
279011,156.0,157.0,5.5,3.3,Indiana University Bloomington
279015,167.0,161.0,4.5,3.89,University Of Oregon
279016,170.0,168.0,6.0,3.92,Johns Hopkins University
279034,155.0,167.0,4.5,3.8,UT Austin
279037,155.0,167.0,4.5,3.8,Purdue University
279047,160.0,158.0,0.0,3.79,Arizona State University
279048,156.0,170.0,4.5,3.8,Stanford University
279068,155.0,160.0,5.0,3.57,George Washington University
279078,164.0,168.0,4.0,3.9,Stanford University
279082,164.0,154.0,4.5,3.72,Florida State University
279099,167.0,163.0,4.0,3.99,Stanford University
279142,161.0,170.0,3.5,4.0,University Of Texas At Austin
279145,159.0,156.0,3.0,3.71,George Washington University
279185,163.0,170.0,5.0,3.4,Indiana University Bloomington
279219,169.0,156.0,5.0,3.9,Duke University
279226,166.0,162.0,6.0,3.89,Harvard University
279233,162.0,162.0,3.5,3.85,University Of Delaware
279242,170.0,162.0,5.5,3.84,New York University
279244,164.0,166.0,5.0,3.8,Princeton University
279266,144.0,170.0,2.5,3.54,University Of Colorado Boulder
279269,165.0,154.0,5.5,3.8,University Of Southern California
279271,162.0,165.0,5.0,4.0,UCLA
279295,169.0,159.0,6.0,3.69,University Of Oregon
279301,155.0,162.0,3.5,3.8,"University Of Washington, Seattle"
279303,164.0,162.0,4.5,3.31,University Of Washington
279313,162.0,159.0,4.5,3.72,Columbia University
279327,161.0,165.0,4.5,3.6,UC Berkeley
279341,170.0,165.0,5.5,3.97,Yale University
279345,163.0,166.0,5.0,3.6,Harvard University
279348,130.0,153.1914893617021,4.5,3.82,UT Austin
279358,161.0,160.0,4.0,3.5,University Of Michigan
279371,161.0,161.0,4.0,3.8,University Of Texas At Dallas
279373,167.0,154.0,5.0,3.9,Temple University
279374,161.0,161.0,4.0,3.8,University Of Arizona
279383,155.0,163.0,3.5,3.4,"University Of California, San Diego"
279393,160.0,154.0,4.0,3.1,Rutgers University
279417,166.0,150.0,4.5,4.0,The Ohio State University
279444,169.0,164.0,6.0,3.68,Cornell University
279445,170.0,169.0,6.0,4.0,UNC Chapel Hill
279448,150.0,165.0,3.5,3.94,UC Davis
279454,163.0,168.0,4.0,4.0,Purdue University
279466,165.0,166.0,5.0,4.0,Columbia University
279467,150.0,149.0,4.5,3.2,University Of Maryland
279480,161.0,169.0,4.0,3.6,UC Davis
279489,160.0,160.0,0.0,3.73,Northwestern University
279492,165.0,159.0,4.0,3.2,University Of Washington
279493,130.0,136.17021276595744,5.0,3.97,UT Austin
279495,161.0,163.0,4.0,3.5,Washington University in St. Louis (WashU/WUSTL)
279507,165.0,148.0,3.0,3.4,North Carolina State University
279529,147.0,164.0,2.5,3.8,University Of Maryland
279583,166.0,162.0,4.0,3.7,"University Of Washington, Seattle"
279594,162.0,168.0,5.0,3.3,University Of Georgia
279601,168.0,167.0,5.5,3.85,Cornell University
279616,165.0,170.0,3.5,3.91,UCLA
279618,156.0,165.0,4.5,3.67,Ohio State University
279621,145.0,163.0,5.5,3.75,Boston University
279632,148.0,170.0,3.0,3.77,USC
279670,156.0,155.0,4.0,3.92,Tufts University
279671,153.1914893617021,136.17021276595744,5.0,4.0,Syracuse University
279683,162.0,169.0,5.5,3.96,Syracuse University
279701,154.0,169.0,3.0,3.94,Purdue University
279711,153.0,144.0,4.0,3.75,University Of Kentucky
279725,165.0,153.0,4.0,3.6,University Of Washington
279730,157.0,169.0,3.5,3.78,"University Of Washington, Seattle"
279735,170.2127659574468,130.0,3.5,3.93,University Of Chicago
279747,155.0,167.0,5.0,3.18,University Of Iowa
279753,159.0,167.0,3.0,3.3,UC Davis
279763,155.0,163.0,3.0,9.99,University Of Kansas
279773,164.0,170.0,4.0,3.34,University Of Southern California
279786,166.0,164.0,5.5,3.74,University Of Pittsburgh
279808,147.0,166.0,3.5,3.2,University Of Pittsburgh
279815,167.0,167.0,4.5,3.97,University Of Maryland
279817,167.0,167.0,4.5,3.97,University Of Wisconsin - Madison
279827,162.0,150.0,5.0,3.61,Florida State University
279851,150.0,167.0,4.0,3.91,Carnegie Mellon University
279855,150.0,164.0,3.0,3.86,University Of Texas At Austin
279857,160.0,164.0,3.0,4.0,UIUC
279866,158.0,170.0,4.5,3.69,Penn State University
279873,162.0,163.0,5.0,3.68,University Of Utah
279875,166.0,153.0,4.0,3.76,UCLA
279894,165.0,158.0,5.0,3.9,Yale University
279903,168.0,170.0,4.0,3.84,University Of Pittsburgh
279908,163.0,163.0,5.0,3.98,Penn State University
279918,163.0,152.0,5.5,4.0,Wayne State University
279919,160.0,157.0,4.0,3.57,University Of Southern California
279925,170.0,167.0,5.0,4.0,University Of Pittsburgh
279932,165.0,163.0,4.0,3.71,"University Of California, Davis"
279937,154.0,170.0,3.5,3.96,UIUC
279955,166.0,163.0,4.0,3.89,Arizona State University
279961,130.0,163.82978723404256,4.5,3.8,UCLA
279971,153.0,156.0,4.0,3.81,University Of Oregon
279983,161.0,157.0,6.0,3.88,University Of Arizona
279986,162.0,161.0,5.0,3.53,New York University
279990,160.0,156.0,4.5,3.67,American University
279999,167.0,170.0,5.5,3.89,Carnegie Mellon University
280007,162.0,156.0,5.0,3.56,George Washington University
280009,162.0,169.0,3.5,3.84,University Of Chicago
280013,149.0,169.0,3.0,3.5,Texas A&M University
280031,168.0,158.0,4.5,3.49,Northwestern University
280039,155.0,155.0,4.5,3.5,American University
280057,166.0,155.0,0.0,3.8,University Of South Carolina
280060,164.0,150.0,6.0,3.97,University Of Kentucky
280066,158.0,170.0,0.0,3.8,UIUC
280089,162.0,156.0,4.5,3.8,American University
280093,164.0,164.0,4.5,4.0,University Of Wisconsin - Madison
280103,168.0,167.0,4.0,3.93,Northwestern University
280116,159.0,156.0,4.0,3.54,Boston University
280141,164.0,165.0,5.5,3.55,Duke University
280144,170.2127659574468,170.2127659574468,4.5,3.98,UCLA
280147,164.0,165.0,5.5,3.55,University Of Michigan
280163,161.0,150.0,5.0,3.82,Purdue University
280165,168.0,157.0,6.0,3.56,George Washington University
280167,164.0,170.0,6.0,3.8,UC Berkeley
280173,154.0,164.0,3.0,3.57,Indiana University Bloomington
280201,159.0,155.0,4.5,3.2,University Of Texas At Austin
280245,170.0,165.0,5.0,3.92,Georgetown University
280274,163.0,166.0,3.5,3.95,University Of Utah
280316,166.0,162.0,6.0,3.89,Columbia University
280317,164.0,160.0,5.0,3.86,University Of Pennsylvania
280343,157.0,169.0,5.0,3.68,Yale University
280356,170.0,170.0,5.5,3.8,Yale University
280365,158.0,162.0,4.0,3.95,Duke University
280372,165.0,168.0,5.5,3.94,University Of Chicago
280375,149.0,170.0,3.0,3.91,Yale University
280388,158.0,160.0,5.0,3.33,University Of Southern California
280394,158.0,166.0,5.5,3.35,University Of Arizona
280403,151.0,170.0,3.0,3.41,Carnegie Mellon University
280408,165.0,155.0,6.0,3.77,University Of Chicago
280410,164.0,164.0,3.5,4.0,University Of Florida
280412,164.0,157.0,5.0,3.95,Rice University
280446,170.0,170.0,5.0,3.7,Brown University
280449,164.0,166.0,5.0,3.81,UC Berkeley
280458,160.0,169.0,3.5,3.93,Brown University
280487,150.0,151.0,4.0,3.4,Boston University
